user_id,education,experience,user_location,user_skill,skills_required,job_title,relevance_score,selected,salary
1,Master,0,Port Said,SQL;C++;Java;CSS,NLP;Deep Learning;Python,Data Scientist,0.0,0,71178
2,Bachelor,6,Alexandria,CSS;SQL;PyTorch,Machine Learning;TensorFlow;Deep Learning,Machine Learning Engineer,0.0,0,93902
3,Bachelor,0,Alexandria,Deep Learning;Machine Learning;C++;SQL;PyTorch;Python,Deep Learning;Python;SQL,Data Scientist,1.0,0,56473
4,Master,8,Cairo,CSS;Java;NLP;TensorFlow;Machine Learning;JavaScript,JavaScript;C++;Java,Software Developer,0.67,1,107806
5,Bachelor,7,Port Said,SQL;Java;NLP,CSS;HTML;C++,Software Developer,0.0,0,87842
6,Bachelor,6,Port Said,JavaScript;TensorFlow;C++,Deep Learning;NLP;TensorFlow,AI Engineer,0.33,0,101465
7,Bachelor,7,Port Said,SQL;Python;Deep Learning,Deep Learning;Python;TensorFlow,Machine Learning Engineer,0.67,1,98327
8,PhD,10,Alexandria,NLP;TensorFlow;HTML;C++;Machine Learning;Java,PyTorch;TensorFlow;Machine Learning,AI Engineer,0.67,1,143683
9,Master,13,Luxor,Deep Learning;SQL;C++;CSS;HTML;Python,Python;SQL;Machine Learning,Data Scientist,0.67,1,132674
10,Bachelor,13,Luxor,NLP;PyTorch;JavaScript,PyTorch;Deep Learning;TensorFlow,Machine Learning Engineer,0.33,0,126442
11,Master,0,Cairo,TensorFlow;Deep Learning;Java;Machine Learning;NLP,NLP;Python;Machine Learning,AI Engineer,0.67,0,81259
12,PhD,5,Luxor,TensorFlow;Machine Learning;CSS,Deep Learning;Machine Learning;PyTorch,AI Engineer,0.33,0,114120
13,Bachelor,0,Luxor,HTML;Python;Java;Deep Learning;Machine Learning,Python;Deep Learning;PyTorch,AI Engineer,0.67,0,74387
14,Bachelor,15,Cairo,C++;TensorFlow;HTML;CSS,Machine Learning;TensorFlow;NLP,AI Engineer,0.33,0,145739
15,PhD,6,Port Said,TensorFlow;PyTorch;Deep Learning;HTML;CSS;Python,Deep Learning;Python;Machine Learning,AI Engineer,0.67,1,121346
16,Bachelor,7,Luxor,Python;Java;PyTorch;SQL,Python;Machine Learning;NLP,Data Scientist,0.33,0,98731
17,Bachelor,8,Giza,CSS;C++;JavaScript;HTML,NLP;PyTorch;Deep Learning,AI Engineer,0.0,0,106894
18,Bachelor,13,Port Said,NLP;HTML;Python;Java;JavaScript;SQL,Java;C++;JavaScript,Software Developer,0.67,1,123605
